1714425558, evm, moon, flipper, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1715477682, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1715477694, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715563914, evm, moon, flipper, 27, solc 0.8.1, --instance-count 1 --call-count 2000
1715563836, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1715563842, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715650218, evm, moon, flipper, 27, solc 0.8.1, --instance-count 1 --call-count 2000
1715650152, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1715650164, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715823013, evm, moon, flipper, 23, solc 0.8.1, --instance-count 1 --call-count 2000
1715822970, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1715822970, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715909442, evm, moon, flipper, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1715909400, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1715909382, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715995777, evm, moon, flipper, 28, solc 0.8.1, --instance-count 1 --call-count 2000
1715995740, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1715995734, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716082530, evm, moon, flipper, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1716082464, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1716082488, sol-wasm, polkadot-v1.7.0, flipper, 23, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716168672, evm, moon, flipper, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1716168600, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1716168594, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716255018, evm, moon, flipper, 24, solc 0.8.1, --instance-count 1 --call-count 2000
1716254964, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1716254970, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716341478, evm, moon, flipper, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1716341436, ink-wasm, polkadot-v1.7.0, flipper, 26, ink! 4.3.0, --instance-count 1 --call-count 2000
1716341418, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716427836, evm, moon, flipper, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1716427758, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1716427764, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716514254, evm, moon, flipper, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1716514194, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1716514194, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716600564, evm, moon, flipper, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1716600516, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1716600516, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716687408, evm, moon, flipper, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1716687378, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1716687354, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716859908, evm, moon, flipper, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1716859824, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1716859812, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1716946501, evm, moon, flipper, 27, solc 0.8.1, --instance-count 1 --call-count 2000
1716946440, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1716946452, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717032715, evm, moon, flipper, 28, solc 0.8.1, --instance-count 1 --call-count 2000
1717032660, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1717032648, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717119156, evm, moon, flipper, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1717119090, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1717119090, sol-wasm, polkadot-v1.7.0, flipper, 27, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717205796, evm, moon, flipper, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1717205748, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1717205742, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717292502, evm, moon, flipper, 27, solc 0.8.1, --instance-count 1 --call-count 2000
1717292448, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1717292442, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717378410, evm, moon, flipper, 27, solc 0.8.1, --instance-count 1 --call-count 2000
1717378362, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1717378374, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717464780, evm, moon, flipper, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1717464732, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1717464732, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717551151, evm, moon, flipper, 27, solc 0.8.1, --instance-count 1 --call-count 2000
1717551096, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1717551096, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717637544, evm, moon, flipper, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1717637478, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1717637496, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717724106, evm, moon, flipper, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1717724046, ink-wasm, polkadot-v1.7.0, flipper, 24, ink! 4.3.0, --instance-count 1 --call-count 2000
1717724046, sol-wasm, polkadot-v1.7.0, flipper, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
