1714426068, evm, moon, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1715477688, sol-wasm, polkadot-v1.7.0, triangle-number, 22, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715564388, evm, moon, triangle-number, 5, solc 0.8.1, --instance-count 1 --call-count 2000
1715563854, ink-wasm, polkadot-v1.7.0, triangle-number, 29, ink! 4.3.0, --instance-count 1 --call-count 2000
1715563860, sol-wasm, polkadot-v1.7.0, triangle-number, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715650746, evm, moon, triangle-number, 5, solc 0.8.1, --instance-count 1 --call-count 2000
1715650128, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1715650146, sol-wasm, polkadot-v1.7.0, triangle-number, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715823534, evm, moon, triangle-number, 5, solc 0.8.1, --instance-count 1 --call-count 2000
1715822958, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1715822970, sol-wasm, polkadot-v1.7.0, triangle-number, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715909934, evm, moon, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1715909376, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1715909394, sol-wasm, polkadot-v1.7.0, triangle-number, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715996280, evm, moon, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1715995728, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1715995734, sol-wasm, polkadot-v1.7.0, triangle-number, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
