1714425546, evm, moon, erc20, 24, solc 0.8.1, --instance-count 1 --call-count 2000
1717810404, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717897554, evm, moon, erc20, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1717897506, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1717897476, sol-wasm, polkadot-v1.7.0, erc20, 33, Solidity 0.3.2, --instance-count 1 --call-count 2000
1717983306, evm, moon, erc20, 24, solc 0.8.1, --instance-count 1 --call-count 2000
1717983270, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1717983384, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718069658, evm, moon, erc20, 22, solc 0.8.1, --instance-count 1 --call-count 2000
1718069610, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1718069706, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718156064, evm, moon, erc20, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1718155986, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1718156100, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718242416, evm, moon, erc20, 24, solc 0.8.1, --instance-count 1 --call-count 2000
1718242350, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1718242440, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718328816, evm, moon, erc20, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1718328744, ink-wasm, polkadot-v1.7.0, erc20, 33, ink! 4.3.0, --instance-count 1 --call-count 2000
1718328864, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718415186, evm, moon, erc20, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1718415150, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1718415228, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718502330, evm, moon, erc20, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1718502294, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1718502390, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718588167, evm, moon, erc20, 24, solc 0.8.1, --instance-count 1 --call-count 2000
1718588124, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1718588220, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718674440, evm, moon, erc20, 24, solc 0.8.1, --instance-count 1 --call-count 2000
1718674404, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1718674506, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718760882, evm, moon, erc20, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1718760834, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1718760924, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718847174, evm, moon, erc20, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1718847096, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1718847198, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1718933568, evm, moon, erc20, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1718933520, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1718933616, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719019950, evm, moon, erc20, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1719019896, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1719019998, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
1719107070, evm, moon, erc20, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1719107010, ink-wasm, polkadot-v1.7.0, erc20, 22, ink! 4.3.0, --instance-count 1 --call-count 2000
1719107118, sol-wasm, polkadot-v1.7.0, erc20, 10, Solidity 0.3.2, --instance-count 1 --call-count 2000
